# HOMER Peaks
# Peak finding parameters:
# tag directory = HCT116-treated
#
# total peaks = 8958
# peak size = 217
# peaks found using tags on both strands
# minimum distance between peaks = 434
# fragment length = 206
# genome size = 2000000000
# Total tags = 44527481.0
# Total tags in peaks = 955564.0
# Approximate IP efficiency = 2.15%
# tags per bp = 0.022107
# expected tags per peak = 4.797
# maximum tags considered per bp = 2.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.719535e-07
# FDR tag threshold = 19.0
# number of putative peaks = 17043
#
# input tag directory = HCT116-input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 6934
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 1147
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 4
#
# cmd = findPeaks HCT116-treated -i HCT116-input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr18-55	chr18	3073607	3073823	+	17.7	0.770	82.000000	55.6	2.0	27.79	3.98e-58	17.63	3.83e-68	0.92
chr1-247	chr1	154363865	154364081	+	17.5	0.750	80.000000	54.2	5.0	10.84	1.78e-36	16.91	5.81e-66	0.88
chr2-240	chr2	29861613	29861829	+	17.5	0.839	79.000000	54.2	3.0	18.06	1.33e-47	18.03	5.03e-68	0.92
chr3-166	chr3	13496878	13497094	+	17.5	0.809	78.000000	54.9	2.0	27.44	1.10e-56	16.51	3.32e-65	0.94
chr3-162	chr3	25334124	25334340	+	17.5	0.735	79.000000	54.2	2.0	27.09	1.10e-56	9.61	2.55e-48	0.88
chr3-163	chr3	64930190	64930406	+	17.5	0.811	79.000000	54.2	6.0	9.03	1.26e-32	22.69	2.02e-75	0.92
chr3-165	chr3	99630929	99631145	+	17.5	0.800	79.000000	54.2	5.0	10.84	1.78e-36	13.17	4.60e-58	0.91
chr3-169	chr3	167205413	167205629	+	17.5	0.867	78.000000	54.2	3.0	18.06	1.33e-47	17.15	2.00e-66	0.87
chr5-152	chr5	60914028	60914244	+	17.5	0.829	79.000000	54.2	3.0	18.06	1.33e-47	21.98	2.15e-74	0.91
chr5-159	chr5	78601606	78601822	+	17.5	0.807	77.000000	54.2	4.0	13.55	2.78e-41	12.43	3.03e-56	0.92
chr5-157	chr5	115001851	115002067	+	17.5	0.731	78.000000	54.2	4.0	13.55	2.78e-41	14.90	3.55e-61	0.89
chr5-154	chr5	152732058	152732274	+	17.5	0.782	79.000000	54.2	5.0	10.84	1.78e-36	20.69	1.96e-72	0.86
chr5-158	chr5	177003230	177003446	+	17.5	0.842	78.000000	54.2	0.5	108.37	1.46e-88	22.12	1.35e-74	0.94
chr8-169	chr8	81493920	81494136	+	17.5	0.815	80.000000	54.2	4.0	13.55	2.78e-41	10.28	2.17e-50	0.94
chr9-121	chr9	111622098	111622314	+	17.5	0.732	81.000000	54.9	6.0	9.15	1.26e-32	16.43	4.68e-65	0.91
chr10-163	chr10	12673226	12673442	+	17.5	0.814	79.000000	54.2	3.0	18.06	1.33e-47	19.01	1.03e-69	0.97
chr10-169	chr10	112978104	112978320	+	17.5	0.849	78.000000	54.2	1.0	54.18	1.62e-72	13.15	2.71e-57	0.96
chr10-164	chr10	120756268	120756484	+	17.5	0.788	79.000000	54.2	5.0	10.84	1.78e-36	12.35	2.28e-55	0.89
chr10-170	chr10	133609872	133610088	+	17.5	0.837	78.000000	54.2	1.0	54.18	1.62e-72	50.96	5.09e-102	0.84
chr11-118	chr11	66386813	66387029	+	17.5	0.767	77.000000	54.9	4.0	13.72	2.78e-41	12.00	3.66e-55	0.91
chr12-165	chr12	57521484	57521700	+	17.5	0.842	80.000000	54.2	1.0	54.18	1.62e-72	16.28	9.26e-65	0.92
chr12-168	chr12	65101192	65101408	+	17.5	0.813	79.000000	54.2	0.5	108.37	1.46e-88	19.65	8.99e-71	0.90
chr13-70	chr13	40807854	40808070	+	17.5	0.880	83.000000	54.9	2.0	27.44	1.10e-56	17.41	6.76e-67	0.91
chr14-82	chr14	35214491	35214707	+	17.5	0.791	80.000000	54.2	3.0	18.06	1.33e-47	16.67	1.66e-65	0.87
chr14-89	chr14	44577838	44578054	+	17.5	0.871	77.000000	54.2	3.0	18.06	1.33e-47	20.79	1.10e-71	0.90
chr14-84	chr14	81765374	81765590	+	17.5	0.838	80.000000	54.2	4.0	13.55	2.78e-41	13.78	9.81e-59	0.91
chr14-85	chr14	93102893	93103109	+	17.5	0.859	78.000000	54.9	5.0	10.98	1.78e-36	22.98	7.66e-76	0.90
chr15-84	chr15	60396494	60396710	+	17.5	0.737	78.000000	54.9	1.0	54.88	1.62e-72	16.51	3.32e-65	1.01
chr16-107	chr16	22855320	22855536	+	17.5	0.780	80.000000	54.9	2.0	27.44	1.10e-56	21.44	1.35e-73	0.90
chr16-108	chr16	47078565	47078781	+	17.5	0.809	79.000000	54.2	5.0	10.84	1.78e-36	20.33	7.17e-72	0.92
chr16-109	chr16	89216605	89216821	+	17.5	0.806	79.000000	54.2	4.0	13.55	2.78e-41	17.24	1.40e-66	0.92
chr17-123	chr17	55080344	55080560	+	17.5	0.806	82.000000	54.2	3.0	18.06	1.33e-47	14.07	3.94e-60	0.90
chr17-125	chr17	65436688	65436904	+	17.5	0.836	81.000000	54.2	2.0	27.09	1.10e-56	10.16	4.92e-50	0.90
chr17-129	chr17	66244692	66244908	+	17.5	0.780	78.000000	54.2	7.0	7.74	1.95e-29	9.13	8.71e-47	0.98
chr19-84	chr19	55757837	55758053	+	17.5	0.792	80.000000	54.9	2.0	27.44	1.10e-56	23.14	4.09e-75	0.91
chr1-253	chr1	56576803	56577019	+	17.3	0.835	77.000000	53.5	2.0	26.74	2.96e-55	17.05	1.42e-64	0.94
chr1-255	chr1	99142997	99143213	+	17.3	0.847	77.000000	53.5	7.0	7.64	1.51e-28	14.34	3.21e-59	0.93
chr1-257	chr1	111232996	111233212	+	17.3	0.789	77.000000	54.9	10.0	5.49	2.40e-22	17.53	2.76e-66	0.93
chr1-245	chr1	116381917	116382133	+	17.3	0.760	80.000000	53.5	0.5	106.98	1.58e-86	14.59	1.63e-60	0.90
chr1-270	chr1	223595117	223595333	+	17.3	0.840	75.000000	53.5	7.0	7.64	1.51e-28	17.85	5.32e-66	0.97
chr2-250	chr2	13822150	13822366	+	17.3	0.862	76.000000	53.5	1.0	53.49	8.77e-71	26.30	3.22e-79	0.93
chr2-245	chr2	55240078	55240294	+	17.3	0.817	78.000000	53.5	6.0	8.91	1.14e-31	10.85	2.16e-51	0.93
chr2-242	chr2	111611583	111611799	+	17.3	0.824	79.000000	53.5	2.0	26.74	2.96e-55	15.03	1.91e-61	0.87
chr2-248	chr2	197093998	197094214	+	17.3	0.835	78.000000	53.5	2.0	26.74	2.96e-55	11.81	2.55e-53	0.90
chr2-244	chr2	236574978	236575194	+	17.3	0.701	79.000000	53.5	4.0	13.37	3.75e-40	15.92	2.94e-63	0.91
chr3-167	chr3	25692361	25692577	+	17.3	0.748	78.000000	53.5	4.0	13.37	3.75e-40	11.97	2.13e-54	0.89
chr3-164	chr3	87481640	87481856	+	17.3	0.873	79.000000	53.5	0.5	106.98	1.58e-86	14.77	6.57e-61	0.93
chr4-177	chr4	4182136	4182352	+	17.3	0.865	70.000000	54.2	0.5	108.37	1.46e-88	19.10	2.95e-67	1.12
chr5-162	chr5	131101046	131101262	+	17.3	0.795	76.000000	53.5	3.0	17.83	2.39e-46	12.60	2.90e-55	0.96
chr5-155	chr5	158758330	158758546	+	17.3	0.822	79.000000	53.5	5.0	10.70	1.93e-35	16.57	6.89e-63	0.91
chr6-168	chr6	10431713	10431929	+	17.3	0.816	76.000000	53.5	3.0	17.83	2.39e-46	12.55	3.75e-55	0.89
chr6-165	chr6	118348899	118349115	+	17.3	0.844	78.000000	53.5	4.0	13.37	3.75e-40	15.78	5.68e-63	0.89
chr7-176	chr7	50863752	50863968	+	17.3	0.757	75.000000	53.5	3.0	17.83	2.39e-46	15.43	2.87e-62	0.90
chr7-175	chr7	123820303	123820519	+	17.3	0.861	76.000000	53.5	2.0	26.74	2.96e-55	13.78	9.81e-59	0.91
chr8-172	chr8	9360082	9360298	+	17.3	0.853	77.000000	54.2	3.0	18.06	1.33e-47	20.89	6.15e-71	0.94
chr8-171	chr8	128645036	128645252	+	17.3	0.816	78.000000	53.5	0.5	106.98	1.58e-86	9.93	4.13e-48	0.93
chr9-127	chr9	5566050	5566266	+	17.3	0.821	77.000000	53.5	5.0	10.70	1.93e-35	15.57	8.97e-62	0.86
chr10-166	chr10	31372716	31372932	+	17.3	0.829	78.000000	53.5	6.0	8.91	1.14e-31	16.93	3.43e-65	0.89
chr10-168	chr10	96747984	96748200	+	17.3	0.784	78.000000	53.5	4.0	13.37	3.75e-40	17.75	7.72e-66	0.92
chr11-114	chr11	34661916	34662132	+	17.3	0.848	78.000000	53.5	3.0	17.83	2.39e-46	9.33	7.51e-47	0.93
chr11-119	chr11	120330848	120331064	+	17.3	0.811	77.000000	53.5	3.0	17.83	2.39e-46	12.05	1.30e-54	0.94
chr13-73	chr13	50997983	50998199	+	17.3	0.779	78.000000	53.5	1.0	53.49	8.77e-71	11.77	7.11e-54	0.87
chr13-74	chr13	114907107	114907323	+	17.3	0.867	77.000000	53.5	2.0	26.74	2.96e-55	23.61	9.23e-76	0.89
chr14-91	chr14	70079576	70079792	+	17.3	0.804	76.000000	53.5	2.0	26.74	2.96e-55	16.00	2.11e-63	0.91
chr14-90	chr14	97287904	97288120	+	17.3	0.888	77.000000	54.2	4.0	13.55	2.78e-41	12.35	2.28e-55	0.90
chr14-88	chr14	105820666	105820882	+	17.3	0.848	78.000000	53.5	4.0	13.37	3.75e-40	26.30	3.22e-79	0.90
chr15-83	chr15	64900153	64900369	+	17.3	0.876	79.000000	54.2	2.0	27.09	1.10e-56	16.85	4.88e-65	0.91
chr16-110	chr16	89396793	89397009	+	17.3	0.788	77.000000	54.2	6.0	9.03	1.26e-32	9.23	1.57e-46	0.94
chr17-130	chr17	50197910	50198126	+	17.3	0.895	77.000000	53.5	2.0	26.74	2.96e-55	19.72	5.13e-70	0.86
chr19-87	chr19	23470573	23470789	+	17.3	0.816	77.000000	54.2	1.0	54.18	1.62e-72	31.85	2.11e-85	0.90
chr20-65	chr20	10437820	10438036	+	17.3	0.806	77.000000	53.5	2.0	26.74	2.96e-55	14.29	7.26e-60	0.97
chr21-30	chr21	35954811	35955027	+	17.3	0.806	80.000000	54.2	6.0	9.03	1.26e-32	19.18	3.98e-69	0.89
chrX-58	chrX	45671633	45671849	+	17.3	0.847	82.000000	53.5	1.0	53.49	8.77e-71	17.99	4.29e-67	0.87
chr1-252	chr1	48198298	48198514	+	17.1	0.769	77.000000	52.8	3.0	17.60	4.23e-45	14.39	1.42e-58	0.85
chr1-266	chr1	85528288	85528504	+	17.1	0.765	75.000000	52.8	6.0	8.80	1.01e-30	12.64	2.24e-55	0.86
chr1-250	chr1	100895975	100896191	+	17.1	0.786	78.000000	52.8	7.0	7.54	1.15e-27	13.44	3.11e-57	0.88
chr1-260	chr1	113246448	113246664	+	17.1	0.807	76.000000	53.5	6.0	8.91	1.14e-31	12.12	2.11e-53	0.93
chr1-259	chr1	247662749	247662965	+	17.1	0.791	77.000000	52.8	1.0	52.79	4.65e-69	16.88	2.88e-64	0.92
chr2-249	chr2	13836921	13837137	+	17.1	0.888	77.000000	52.8	2.0	26.40	7.85e-54	24.13	1.75e-75	0.92
chr3-192	chr3	75676198	75676414	+	17.1	0.976	69.000000	52.8	1.0	52.79	4.65e-69	285.53	8.35e-156	1.57
chr3-175	chr3	186831239	186831455	+	17.1	0.693	75.000000	52.8	6.0	8.80	1.01e-30	14.10	1.04e-58	0.90
chr4-164	chr4	82037874	82038090	+	17.1	0.837	78.000000	52.8	2.0	26.40	7.85e-54	16.01	1.25e-62	0.86
chr4-168	chr4	140598285	140598501	+	17.1	0.764	76.000000	52.8	6.0	8.80	1.01e-30	14.10	1.04e-58	0.86
chr5-156	chr5	54430345	54430561	+	17.1	0.870	78.000000	52.8	2.0	26.40	7.85e-54	17.39	3.36e-65	0.90
chr6-167	chr6	4634326	4634542	+	17.1	0.778	76.000000	52.8	1.0	52.79	4.65e-69	16.47	1.64e-63	0.89
chr6-170	chr6	106439405	106439621	+	17.1	0.741	76.000000	52.8	3.0	17.60	4.23e-45	7.50	6.79e-40	0.88
chr7-167	chr7	56859300	56859516	+	17.1	0.894	80.000000	52.8	0.5	105.59	1.67e-84	51.91	4.76e-100	1.06
chr7-172	chr7	65566657	65566873	+	17.1	0.759	76.000000	52.8	2.0	26.40	7.85e-54	12.76	6.03e-55	0.89
chr7-171	chr7	75157352	75157568	+	17.1	0.853	77.000000	52.8	4.0	13.20	4.98e-39	15.50	1.24e-61	0.96
chr7-173	chr7	86952407	86952623	+	17.1	0.819	76.000000	52.8	6.0	8.80	1.01e-30	20.39	3.52e-70	0.94
chr9-128	chr9	28329435	28329651	+	17.1	0.842	77.000000	52.8	1.0	52.79	4.65e-69	21.11	1.92e-69	0.89
chr9-126	chr9	135506308	135506524	+	17.1	0.802	78.000000	52.8	6.0	8.80	1.01e-30	18.03	2.51e-66	0.93
chr10-165	chr10	27532050	27532266	+	17.1	0.737	78.000000	53.5	3.0	17.83	2.39e-46	10.91	6.35e-51	0.90
chr10-167	chr10	73272642	73272858	+	17.1	0.824	78.000000	52.8	2.0	26.40	7.85e-54	17.34	2.84e-64	0.87
chr10-172	chr10	100342126	100342342	+	17.1	0.836	77.000000	52.8	4.0	13.20	4.98e-39	12.95	2.10e-55	0.95
chr14-86	chr14	94786645	94786861	+	17.1	0.859	78.000000	53.5	3.0	17.83	2.39e-46	15.79	3.37e-62	0.93
chr15-85	chr15	74776537	74776753	+	17.1	0.809	77.000000	52.8	0.5	105.59	1.67e-84	20.89	6.15e-71	0.90
chr16-112	chr16	10523249	10523465	+	17.1	0.905	75.000000	52.8	1.0	52.79	4.65e-69	17.13	9.93e-65	0.93
chr17-132	chr17	53386177	53386393	+	17.1	0.850	74.000000	52.8	4.0	13.20	4.98e-39	14.15	4.61e-58	0.95
chr18-60	chr18	14236495	14236711	+	17.1	0.904	75.000000	52.8	1.0	52.79	4.65e-69	27.63	8.73e-80	1.04
chr18-61	chr18	61352107	61352323	+	17.1	0.880	74.000000	52.8	2.0	26.40	7.85e-54	16.74	3.44e-63	0.98
chr20-63	chr20	17950170	17950386	+	17.1	0.691	80.000000	52.8	3.0	17.60	4.23e-45	9.16	1.01e-45	0.92
chr21-32	chr21	33903733	33903949	+	17.1	0.824	75.000000	52.8	2.0	26.40	7.85e-54	18.32	7.98e-67	0.88
chrX-59	chrX	40864530	40864746	+	17.1	0.832	78.000000	53.5	3.0	17.83	2.39e-46	29.54	6.54e-82	0.90
chr1-264	chr1	39493528	39493744	+	16.8	0.889	75.000000	52.1	2.0	26.05	7.85e-54	13.56	4.74e-56	0.98
chr1-254	chr1	89789578	89789794	+	16.8	0.872	77.000000	52.1	6.0	8.68	1.01e-30	23.16	3.11e-73	0.85
chr1-275	chr1	110108926	110109142	+	16.8	0.804	74.000000	52.1	6.0	8.68	1.01e-30	12.08	2.70e-53	0.87
chr1-258	chr1	186897069	186897285	+	16.8	0.822	77.000000	52.1	3.0	17.37	4.23e-45	14.57	3.43e-58	0.93
chr1-269	chr1	221970561	221970777	+	16.8	0.821	75.000000	52.1	3.0	17.37	4.23e-45	12.48	2.83e-54	0.98
chr2-252	chr2	37232752	37232968	+	16.8	0.844	75.000000	52.1	4.0	13.02	4.98e-39	16.26	2.71e-62	0.85
chr3-173	chr3	14366092	14366308	+	16.8	0.840	75.000000	52.1	1.0	52.10	4.65e-69	5.26	1.16e-29	0.88
chr3-171	chr3	121800498	121800714	+	16.8	0.857	76.000000	52.1	2.0	26.05	7.85e-54	18.38	4.65e-66	0.96
chr3-170	chr3	152856508	152856724	+	16.8	0.863	77.000000	52.8	3.0	17.60	4.23e-45	14.77	2.32e-59	0.88
chr5-161	chr5	77385821	77386037	+	16.8	0.761	76.000000	52.1	7.0	7.44	1.15e-27	12.43	3.65e-54	0.89
chr6-166	chr6	1330058	1330274	+	16.8	0.822	76.000000	52.1	4.0	13.02	4.98e-39	15.45	3.59e-59	0.95
chr6-169	chr6	28379950	28380166	+	16.8	0.782	76.000000	52.1	2.0	26.05	7.85e-54	13.05	1.23e-55	0.91
chr7-174	chr7	115924557	115924773	+	16.8	0.810	76.000000	52.1	5.0	10.42	2.05e-34	11.35	8.88e-51	0.89
chr8-170	chr8	53511475	53511691	+	16.8	0.860	78.000000	52.8	1.0	52.79	4.65e-69	16.10	5.31e-62	0.87
chr9-124	chr9	21833576	21833792	+	16.8	0.807	79.000000	52.8	4.0	13.20	4.98e-39	9.63	1.31e-46	0.89
chr10-177	chr10	11113755	11113971	+	16.8	0.885	74.000000	52.1	3.0	17.37	4.23e-45	27.49	1.34e-78	0.91
chr10-174	chr10	105660097	105660313	+	16.8	0.711	76.000000	52.1	4.0	13.02	4.98e-39	7.43	3.84e-39	0.91
chr10-175	chr10	115129158	115129374	+	16.8	0.838	76.000000	52.1	3.0	17.37	4.23e-45	11.86	9.12e-53	0.91
chr11-128	chr11	3317670	3317886	+	16.8	0.821	73.000000	52.8	1.0	52.79	4.65e-69	62.95	1.50e-103	1.01
chr11-121	chr11	32102800	32103016	+	16.8	0.822	76.000000	52.1	5.0	10.42	2.05e-34	15.37	1.40e-60	0.88
chr13-75	chr13	81444356	81444572	+	16.8	0.754	76.000000	52.1	3.0	17.37	4.23e-45	16.66	4.87e-63	0.93
chr14-92	chr14	92642917	92643133	+	16.8	0.810	76.000000	52.1	2.0	26.05	7.85e-54	18.28	6.83e-66	0.93
chr17-127	chr17	16923520	16923736	+	16.8	0.833	79.000000	52.1	6.0	8.68	1.01e-30	14.51	7.80e-59	0.85
chr18-58	chr18	44361901	44362117	+	16.8	0.806	78.000000	52.8	6.0	8.80	1.01e-30	20.25	4.69e-69	0.93
chr19-83	chr19	13753057	13753273	+	16.8	0.776	80.000000	52.1	0.5	104.20	1.67e-84	13.91	1.47e-57	0.92
chrX-62	chrX	122952324	122952540	+	16.8	0.810	76.000000	52.1	1.0	52.10	4.65e-69	42.27	3.36e-92	0.91
chr1-271	chr1	1838983	1839199	+	16.6	0.766	74.000000	51.4	3.0	17.14	7.34e-44	14.19	1.21e-56	0.95
chr1-280	chr1	60825928	60826144	+	16.6	0.904	73.000000	51.4	0.5	102.81	1.74e-82	16.27	1.61e-61	0.98
chr1-281	chr1	89230447	89230663	+	16.6	0.780	73.000000	51.4	4.0	12.85	6.49e-38	10.93	4.83e-49	0.91
chr1-256	chr1	109388604	109388820	+	16.6	0.838	77.000000	52.8	2.0	26.40	7.85e-54	17.56	8.06e-64	0.91
chr1-267	chr1	110454090	110454306	+	16.6	0.769	75.000000	51.4	0.5	102.81	1.74e-82	17.29	2.40e-63	0.95
chr1-251	chr1	229820336	229820552	+	16.6	0.746	78.000000	52.1	4.0	13.02	4.98e-39	14.69	1.11e-57	0.89
chr2-261	chr2	31613330	31613546	+	16.6	0.793	73.000000	51.4	0.5	102.81	1.74e-82	14.69	1.11e-57	0.94
chr2-263	chr2	101776075	101776291	+	16.6	0.725	73.000000	51.4	4.0	12.85	6.49e-38	17.56	8.06e-64	0.88
chr2-253	chr2	154261778	154261994	+	16.6	0.908	75.000000	51.4	8.0	6.43	2.92e-24	17.27	1.20e-61	0.85
chr2-259	chr2	202163083	202163299	+	16.6	0.783	74.000000	51.4	6.0	8.57	8.76e-30	30.33	1.26e-80	0.98
chr2-254	chr2	237300438	237300654	+	16.6	0.878	75.000000	52.1	2.0	26.05	7.85e-54	26.90	6.58e-77	0.95
chr2-260	chr2	239051231	239051447	+	16.6	0.810	74.000000	51.4	0.5	102.81	1.74e-82	11.50	3.52e-51	0.93
chr3-177	chr3	14042257	14042473	+	16.6	0.784	74.000000	51.4	1.0	51.41	2.42e-67	15.10	1.75e-58	0.95
chr3-179	chr3	126724749	126724965	+	16.6	0.798	74.000000	51.4	2.0	25.70	2.04e-52	23.01	4.44e-72	0.89
chr3-172	chr3	196004839	196005055	+	16.6	0.790	76.000000	51.4	2.0	25.70	2.04e-52	13.40	1.09e-55	0.95
chr4-167	chr4	8109200	8109416	+	16.6	0.872	76.000000	51.4	3.0	17.14	7.34e-44	26.48	2.06e-76	0.89
chr4-165	chr4	132823835	132824051	+	16.6	0.926	78.000000	51.4	2.0	25.70	2.04e-52	25.47	3.29e-75	0.92
chr6-164	chr6	76439457	76439673	+	16.6	0.828	78.000000	51.4	1.0	51.41	2.42e-67	15.74	1.65e-60	0.93
chr6-171	chr6	122775937	122776153	+	16.6	0.784	76.000000	52.1	2.0	26.05	7.85e-54	13.96	6.52e-57	0.98
chr7-168	chr7	140137433	140137649	+	16.6	0.839	80.000000	51.4	1.0	51.41	2.42e-67	16.05	2.62e-60	1.02
chr8-173	chr8	107951653	107951869	+	16.6	0.787	76.000000	51.4	4.0	12.85	6.49e-38	11.83	5.29e-52	0.88
chr9-125	chr9	95903619	95903835	+	16.6	0.794	78.000000	52.1	0.5	104.20	1.67e-84	18.74	8.38e-66	0.98
chr10-180	chr10	129017601	129017817	+	16.6	0.792	72.000000	51.4	2.0	25.70	2.04e-52	10.62	3.41e-48	0.94
chr11-120	chr11	16797134	16797350	+	16.6	0.677	76.000000	51.4	7.0	7.34	8.55e-27	12.18	7.49e-53	0.87
chr11-124	chr11	64808696	64808912	+	16.6	0.867	74.000000	51.4	5.0	10.28	2.13e-33	17.02	7.05e-63	0.96
chr11-115	chr11	86431172	86431388	+	16.6	0.798	78.000000	51.4	2.0	25.70	2.04e-52	13.84	1.16e-56	0.89
chr12-171	chr12	47697981	47698197	+	16.6	0.773	76.000000	51.4	4.0	12.85	6.49e-38	16.27	1.61e-61	0.99
chr12-177	chr12	51322215	51322431	+	16.6	0.880	73.000000	51.4	2.0	25.70	2.04e-52	14.38	8.43e-58	0.93
chr12-173	chr12	95015529	95015745	+	16.6	0.859	75.000000	51.4	2.0	25.70	2.04e-52	13.03	7.27e-55	0.88
chr13-76	chr13	80214877	80215093	+	16.6	0.791	74.000000	52.1	1.0	52.10	4.65e-69	19.17	1.70e-66	0.93
chr15-89	chr15	63189517	63189733	+	16.6	0.848	74.000000	51.4	5.0	10.28	2.13e-33	13.45	8.26e-56	0.96
chr16-114	chr16	70612836	70613052	+	16.6	0.920	74.000000	51.4	3.0	17.14	7.34e-44	16.12	3.15e-61	0.92
chr16-111	chr16	75339227	75339443	+	16.6	0.744	76.000000	51.4	3.0	17.14	7.34e-44	14.83	1.02e-58	0.91
chr17-133	chr17	59450853	59451069	+	16.6	0.873	74.000000	51.4	0.5	102.81	1.74e-82	14.12	1.62e-56	0.98
chr18-59	chr18	7789093	7789309	+	16.6	0.798	75.000000	51.4	5.0	10.28	2.13e-33	16.68	2.88e-62	0.93
chr19-89	chr19	8482730	8482946	+	16.6	0.808	75.000000	51.4	0.5	102.81	1.74e-82	13.41	2.89e-54	0.96
chr19-91	chr19	44781570	44781786	+	16.6	0.802	74.000000	51.4	3.0	17.14	7.34e-44	16.41	2.38e-59	0.91
chr22-44	chr22	26225355	26225571	+	16.6	0.837	74.000000	51.4	1.0	51.41	2.42e-67	22.69	1.17e-71	0.98
chr1-265	chr1	40268607	40268823	+	16.4	0.832	75.000000	50.7	3.0	16.90	1.25e-42	14.89	4.45e-58	0.87
chr1-273	chr1	82346378	82346594	+	16.4	0.788	74.000000	50.7	2.0	25.36	5.21e-51	14.63	1.51e-57	0.89
chr1-261	chr1	117096444	117096660	+	16.4	0.804	76.000000	50.7	0.5	101.42	1.77e-80	12.06	7.14e-52	0.89
chr1-262	chr1	150720370	150720586	+	16.4	0.837	76.000000	50.7	2.0	25.36	5.21e-51	16.21	1.34e-60	0.89
chr1-277	chr1	174567278	174567494	+	16.4	0.772	74.000000	50.7	0.5	101.42	1.77e-80	17.98	1.06e-63	1.00
chr1-278	chr1	227521337	227521553	+	16.4	0.802	74.000000	50.7	4.0	12.68	8.28e-37	16.88	8.45e-62	0.95
chr1-263	chr1	229367152	229367368	+	16.4	0.763	76.000000	50.7	3.0	16.90	1.25e-42	12.47	7.52e-53	0.98
chr2-255	chr2	2995219	2995435	+	16.4	0.851	74.000000	50.7	3.0	16.90	1.25e-42	19.36	6.53e-66	0.91
chr2-256	chr2	24049773	24049989	+	16.4	0.838	74.000000	50.7	6.0	8.45	7.46e-29	12.73	9.41e-53	0.88
chr2-262	chr2	70055810	70056026	+	16.4	0.798	73.000000	51.4	3.0	17.14	7.34e-44	11.84	2.41e-51	0.98
chr2-279	chr2	157321921	157322137	+	16.4	0.830	69.000000	50.7	2.0	25.36	5.21e-51	12.23	2.65e-52	0.97
chr2-266	chr2	216527366	216527582	+	16.4	0.789	73.000000	50.7	5.0	10.14	2.18e-32	13.01	4.28e-54	0.94
chr3-176	chr3	5652961	5653177	+	16.4	0.830	74.000000	50.7	6.0	8.45	7.46e-29	15.90	5.09e-60	0.94
chr3-180	chr3	18540825	18541041	+	16.4	0.859	73.000000	50.7	4.0	12.68	8.28e-37	15.52	2.60e-59	0.97
chr3-178	chr3	49225288	49225504	+	16.4	0.797	74.000000	50.7	5.0	10.14	2.18e-32	15.60	1.88e-59	0.87
chr3-185	chr3	117981742	117981958	+	16.4	0.744	71.000000	50.7	5.0	10.14	2.18e-32	13.27	1.11e-54	0.97
chr3-174	chr3	147945437	147945653	+	16.4	0.845	75.000000	50.7	3.0	16.90	1.25e-42	13.06	3.28e-54	0.97
chr4-171	chr4	56263937	56264153	+	16.4	0.819	73.000000	51.4	6.0	8.57	8.76e-30	11.92	1.49e-51	0.92
chr4-172	chr4	144222083	144222299	+	16.4	0.741	73.000000	50.7	1.0	50.71	1.23e-65	15.90	5.09e-60	0.89
chr4-169	chr4	187852927	187853143	+	16.4	0.737	76.000000	50.7	4.0	12.68	8.28e-37	8.59	3.50e-42	0.95
chr5-166	chr5	143713135	143713351	+	16.4	0.853	72.000000	50.7	2.0	25.36	5.21e-51	16.13	1.87e-60	0.95
chr7-180	chr7	22899333	22899549	+	16.4	0.798	72.000000	50.7	7.0	7.24	6.25e-26	6.80	1.01e-35	0.91
chr7-181	chr7	56085788	56086004	+	16.4	0.806	72.000000	50.7	2.0	25.36	5.21e-51	16.13	1.87e-60	1.05
chr8-174	chr8	26181418	26181634	+	16.4	0.764	74.000000	50.7	5.0	10.14	2.18e-32	11.35	4.05e-50	0.92
chr9-129	chr9	5462775	5462991	+	16.4	0.821	76.000000	51.4	2.0	25.70	2.04e-52	13.87	3.06e-55	0.90
chr9-131	chr9	124281440	124281656	+	16.4	0.845	76.000000	50.7	2.0	25.36	5.21e-51	19.83	1.25e-66	0.97
chr9-132	chr9	139659161	139659377	+	16.4	0.796	74.000000	51.4	0.5	102.81	1.74e-82	18.39	2.32e-64	0.89
chr11-122	chr11	78879835	78880051	+	16.4	0.817	76.000000	50.7	0.5	101.42	1.77e-80	20.70	6.28e-68	0.87
chr11-126	chr11	86377326	86377542	+	16.4	0.779	74.000000	51.4	4.0	12.85	6.49e-38	13.66	1.60e-55	0.92
chr11-130	chr11	93752357	93752573	+	16.4	0.849	73.000000	50.7	2.0	25.36	5.21e-51	18.44	1.35e-63	0.97
chr12-176	chr12	29286537	29286753	+	16.4	0.867	73.000000	50.7	2.0	25.36	5.21e-51	19.83	1.25e-66	0.92
