# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/jkissinger/lab5/tagdirs/Klf4
#
# total peaks = 3020
# peak size = 75
# peaks found using tags on both strands
# minimum distance between peaks = 150
# fragment length = 74
# genome size = 2000000000
# Total tags = 1720172.0
# Total tags in peaks = 53736.0
# Approximate IP efficiency = 3.12%
# tags per bp = 0.000798
# expected tags per peak = 0.060
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.086211e-07
# FDR tag threshold = 4.0
# number of putative peaks = 93354
#
# input tag directory = /home/jkissinger/lab5/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 83515
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 6819
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /home/jkissinger/lab5/tagdirs/Klf4 -i /home/jkissinger/lab5/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
17-390	17	24206450	24206524	+	145.3	0.545	24.000000	25.0	6.0	4.17	5.81e-09	4.75	4.55e-10	0.87
17-503	17	24677748	24677822	+	145.3	0.556	22.000000	25.0	0.5	50.03	1.15e-33	9.27	2.88e-16	0.91
17-916	17	25474856	25474930	+	145.3	0.537	18.000000	25.0	5.0	5.00	1.58e-10	8.11	5.62e-15	1.17
17-588	17	26676322	26676396	+	145.3	0.569	21.000000	25.0	5.0	5.00	1.58e-10	9.59	1.34e-16	1.00
17-451	17	26932937	26933011	+	145.3	0.583	23.000000	25.0	5.0	5.00	1.58e-10	9.37	2.24e-16	0.87
17-589	17	26933227	26933301	+	145.3	0.638	21.000000	25.0	2.0	12.51	3.12e-19	9.40	2.10e-16	0.95
17-593	17	28691165	28691239	+	145.3	0.612	21.000000	25.0	3.0	8.34	3.03e-15	7.68	1.87e-14	0.95
17-594	17	28952394	28952468	+	145.3	0.532	21.000000	26.0	2.0	13.01	2.39e-20	7.75	5.08e-14	0.96
17-600	17	29263957	29264031	+	145.3	0.632	21.000000	25.0	5.0	5.00	1.58e-10	4.92	2.19e-10	1.00
17-454	17	29399462	29399536	+	145.3	0.821	23.000000	25.0	1.0	25.02	2.34e-26	5.95	4.42e-12	0.87
17-361	17	29405664	29405738	+	145.3	0.593	25.000000	25.0	4.0	6.25	1.55e-12	7.78	1.38e-14	0.83
17-696	17	29629764	29629838	+	145.3	0.519	20.000000	25.0	3.0	8.34	3.03e-15	8.50	1.96e-15	1.05
17-805	17	30004988	30005062	+	145.3	0.838	19.000000	25.0	2.0	12.51	3.12e-19	7.52	3.09e-13	1.02
17-457	17	31424967	31425041	+	145.3	0.587	23.000000	25.0	4.0	6.25	1.55e-12	5.95	4.42e-12	0.91
17-399	17	32062351	32062425	+	145.3	0.652	24.000000	25.0	3.0	8.34	3.03e-15	9.27	2.88e-16	0.83
17-459	17	32321610	32321684	+	145.3	0.550	23.000000	25.0	2.0	12.51	3.12e-19	6.81	2.54e-13	0.91
17-607	17	32902269	32902343	+	145.3	0.660	21.000000	25.0	3.0	8.34	3.03e-15	7.71	1.69e-14	1.05
17-329	17	33092403	33092477	+	145.3	0.443	26.000000	25.0	2.0	12.51	3.12e-19	10.66	5.39e-17	0.80
17-524	17	33824505	33824579	+	145.3	0.609	22.000000	25.0	5.0	5.00	1.58e-10	5.33	4.39e-11	0.95
17-401	17	33919565	33919639	+	145.3	0.552	24.000000	26.0	2.0	13.01	2.39e-20	4.25	4.07e-09	0.87
17-702	17	35051688	35051762	+	145.3	0.600	20.000000	25.0	3.0	8.34	3.03e-15	4.79	3.72e-10	1.05
17-465	17	37072450	37072524	+	145.3	0.508	23.000000	25.0	3.0	8.34	3.03e-15	5.88	5.75e-12	0.91
17-467	17	46202530	46202604	+	145.3	0.710	23.000000	25.0	4.0	6.25	1.55e-12	9.09	4.46e-16	0.87
17-543	17	47139967	47140041	+	145.3	0.608	22.000000	25.0	2.0	12.51	3.12e-19	5.43	4.35e-10	0.88
17-544	17	47542132	47542206	+	145.3	0.446	22.000000	25.0	1.0	25.02	2.34e-26	8.64	1.39e-15	0.91
17-720	17	47694917	47694991	+	145.3	0.545	20.000000	25.0	5.0	5.00	1.58e-10	7.33	1.59e-13	1.01
17-468	17	47739453	47739527	+	145.3	0.532	23.000000	25.0	2.0	12.51	3.12e-19	4.67	6.40e-10	0.91
17-421	17	56627130	56627204	+	145.3	0.707	24.000000	25.0	6.0	4.17	5.81e-09	6.09	2.69e-12	0.87
17-639	17	56877635	56877709	+	145.3	0.643	21.000000	25.0	2.0	12.51	3.12e-19	6.39	7.62e-12	0.92
17-477	17	56885020	56885094	+	145.3	0.681	23.000000	25.0	5.0	5.00	1.58e-10	5.20	7.16e-11	0.95
17-478	17	63176591	63176665	+	145.3	0.660	23.000000	25.0	3.0	8.34	3.03e-15	11.41	2.59e-18	0.91
17-643	17	65884419	65884493	+	145.3	0.542	21.000000	25.0	6.0	4.17	5.81e-09	5.35	2.37e-10	0.92
17-561	17	69322852	69322926	+	145.3	0.647	22.000000	25.0	1.0	25.02	2.34e-26	23.30	1.34e-25	0.95
17-481	17	74527276	74527350	+	145.3	0.609	23.000000	25.0	6.0	4.17	5.81e-09	5.27	5.53e-11	0.91
17-483	17	78885504	78885578	+	145.3	0.756	23.000000	25.0	3.0	8.34	3.03e-15	8.53	1.85e-15	0.91
17-749	17	80480521	80480595	+	145.3	0.516	20.000000	25.0	2.0	12.51	3.12e-19	6.40	9.52e-13	1.00
17-1032	17	83526351	83526425	+	145.3	0.635	18.000000	25.0	4.0	6.25	1.55e-12	4.75	4.42e-10	1.17
17-751	17	83862050	83862124	+	145.3	0.574	20.000000	25.0	6.0	4.17	5.81e-09	4.81	1.74e-09	0.97
17-755	17	87531711	87531785	+	145.3	0.727	20.000000	25.0	4.0	6.25	1.55e-12	5.01	3.53e-10	1.01
17-568	17	87570043	87570117	+	145.3	0.694	22.000000	28.0	4.0	7.00	4.94e-15	4.68	1.29e-09	0.91
17-570	17	87825779	87825853	+	145.3	0.556	22.000000	25.0	6.0	4.17	5.81e-09	8.66	1.31e-15	0.91
17-493	17	91092876	91092950	+	145.3	0.653	23.000000	25.0	4.0	6.25	1.55e-12	13.73	3.62e-20	0.91
17-894	17	91274510	91274584	+	145.3	0.580	19.000000	26.0	6.0	4.34	1.33e-09	16.97	2.53e-22	1.17
17-435	17	94651698	94651772	+	145.3	0.740	24.000000	25.0	1.0	25.02	2.34e-26	8.92	6.82e-16	0.87
17-759	17	94750052	94750126	+	145.3	0.589	20.000000	25.0	2.0	12.51	3.12e-19	8.27	3.63e-15	1.05
17-495	17	5615199	5615273	+	139.5	0.650	22.000000	24.0	5.0	4.80	7.97e-10	14.12	1.08e-19	0.87
17-666	17	6763826	6763900	+	139.5	0.795	20.000000	24.0	5.0	4.80	7.97e-10	8.53	2.40e-14	1.02
17-668	17	8283126	8283200	+	139.5	0.673	20.000000	24.0	5.0	4.80	7.97e-10	7.75	5.08e-14	0.96
17-499	17	17828752	17828826	+	139.5	0.721	22.000000	24.0	2.0	12.01	3.92e-18	6.36	2.98e-12	0.96
17-676	17	18524163	18524237	+	139.5	0.605	20.000000	24.0	3.0	8.01	2.54e-14	14.98	2.83e-20	1.01
17-440	17	21532244	21532318	+	139.5	0.556	23.000000	24.0	1.0	24.02	5.84e-25	9.60	5.28e-16	0.83
17-441	17	21792477	21792551	+	139.5	0.796	23.000000	24.0	1.0	24.02	5.84e-25	16.63	2.70e-21	0.91
17-442	17	21801541	21801615	+	139.5	0.765	23.000000	24.0	2.0	12.01	3.92e-18	34.90	1.01e-28	0.91
17-449	17	24874370	24874444	+	139.5	0.492	23.000000	27.0	5.0	5.40	5.52e-12	5.80	1.98e-11	0.87
17-506	17	26490167	26490241	+	139.5	0.756	22.000000	25.0	4.0	6.25	1.55e-12	11.22	1.74e-17	0.91
17-450	17	26508880	26508954	+	139.5	0.600	23.000000	24.0	5.0	4.80	7.97e-10	5.17	1.89e-10	0.83
17-918	17	26715427	26715501	+	139.5	0.608	18.000000	24.0	3.0	8.01	2.54e-14	8.29	4.22e-14	1.08
17-683	17	26781339	26781413	+	139.5	0.528	20.000000	24.0	5.0	4.80	7.97e-10	9.65	4.63e-16	1.01
17-507	17	26915327	26915401	+	139.5	0.585	22.000000	24.0	3.0	8.01	2.54e-14	10.99	2.75e-17	0.91
17-937	17	28895509	28895583	+	139.5	0.574	18.000000	24.0	2.0	12.01	3.92e-18	5.47	1.53e-10	1.08
17-691	17	29018795	29018869	+	139.5	0.625	20.000000	24.0	2.0	12.01	3.92e-18	6.42	2.53e-12	0.96
17-799	17	29113731	29113805	+	139.5	0.651	19.000000	24.0	4.0	6.00	9.75e-12	11.69	1.62e-16	1.04
17-601	17	29351358	29351432	+	139.5	0.886	21.000000	25.0	1.0	25.02	2.34e-26	6.25	4.29e-12	0.96
17-695	17	29473679	29473753	+	139.5	0.641	20.000000	25.0	4.0	6.25	1.55e-12	7.00	4.27e-13	1.01
17-455	17	29492896	29492970	+	139.5	0.759	23.000000	24.0	3.0	8.01	2.54e-14	4.17	1.16e-08	0.87
17-456	17	29801563	29801637	+	139.5	0.820	23.000000	24.0	5.0	4.80	7.97e-10	6.28	3.96e-12	0.87
17-951	17	31328678	31328752	+	139.5	0.738	18.000000	24.0	4.0	6.00	9.75e-12	4.83	7.04e-10	1.07
17-606	17	32702948	32703022	+	139.5	0.541	21.000000	24.0	1.0	24.02	5.84e-25	11.30	1.49e-17	1.01
17-609	17	33629341	33629415	+	139.5	0.627	21.000000	24.0	2.0	12.01	3.92e-18	8.85	1.12e-14	1.02
17-611	17	34949709	34949783	+	139.5	0.581	21.000000	24.0	1.0	24.02	5.84e-25	4.88	3.01e-09	0.88
17-612	17	35059110	35059184	+	139.5	0.696	21.000000	24.0	2.0	12.01	3.92e-18	4.92	5.08e-10	0.96
17-963	17	35186155	35186229	+	139.5	0.585	18.000000	24.0	4.0	6.00	9.75e-12	5.83	4.57e-11	1.08
17-706	17	35688452	35688526	+	139.5	0.730	20.000000	24.0	2.0	12.01	3.92e-18	8.90	2.69e-15	0.96
17-406	17	35738022	35738096	+	139.5	0.638	24.000000	26.0	5.0	5.20	3.01e-11	9.77	3.55e-16	0.87
17-533	17	37029358	37029432	+	139.5	0.842	22.000000	24.0	2.0	12.01	3.92e-18	5.04	3.12e-10	0.87
17-618	17	44777582	44777656	+	139.5	0.690	21.000000	24.0	4.0	6.00	9.75e-12	10.62	5.79e-17	0.91
17-537	17	45487317	45487391	+	139.5	0.675	22.000000	24.0	3.0	8.01	2.54e-14	10.18	1.47e-16	0.87
17-840	17	46593271	46593345	+	139.5	0.620	19.000000	24.0	2.0	12.01	3.92e-18	6.87	6.13e-13	1.07
17-623	17	46683281	46683355	+	139.5	0.592	21.000000	24.0	6.0	4.00	2.45e-08	4.59	1.90e-09	0.91
17-1174	17	47909402	47909476	+	139.5	0.642	17.000000	24.0	3.0	8.01	2.54e-14	5.70	1.82e-10	1.10
17-546	17	48119818	48119892	+	139.5	0.526	22.000000	24.0	6.0	4.00	2.45e-08	11.51	1.00e-17	0.96
17-474	17	53463297	53463371	+	139.5	0.560	23.000000	24.0	6.0	4.00	2.45e-08	9.18	1.37e-15	0.87
17-851	17	53479202	53479276	+	139.5	0.565	19.000000	24.0	5.0	4.80	7.97e-10	6.16	5.90e-12	1.01
17-853	17	55976547	55976621	+	139.5	0.818	19.000000	24.0	2.0	12.01	3.92e-18	7.74	1.69e-13	1.02
17-633	17	56117504	56117578	+	139.5	0.830	21.000000	24.0	6.0	4.00	2.45e-08	6.98	4.47e-13	0.96
17-638	17	56668977	56669051	+	139.5	0.707	21.000000	24.0	5.0	4.80	7.97e-10	5.93	1.27e-11	0.91
17-857	17	56765236	56765310	+	139.5	0.625	19.000000	24.0	4.0	6.00	9.75e-12	5.28	1.24e-10	1.07
17-551	17	56858607	56858681	+	139.5	0.711	22.000000	24.0	4.0	6.00	9.75e-12	6.74	9.13e-13	0.91
17-641	17	57099867	57099941	+	139.5	0.635	21.000000	24.0	2.0	12.01	3.92e-18	6.04	8.70e-12	0.96
17-644	17	66470275	66470349	+	139.5	0.763	21.000000	24.0	5.0	4.80	7.97e-10	7.30	1.75e-13	0.91
17-739	17	70755176	70755250	+	139.5	0.646	20.000000	24.0	1.0	24.02	5.84e-25	4.09	3.30e-08	1.02
17-744	17	78914095	78914169	+	139.5	0.628	20.000000	24.0	5.0	4.80	7.97e-10	6.03	9.04e-12	0.96
17-649	17	79052225	79052299	+	139.5	0.650	21.000000	24.0	1.0	24.02	5.84e-25	13.46	3.12e-19	0.91
17-486	17	80728704	80728778	+	139.5	0.576	23.000000	24.0	5.0	4.80	7.97e-10	7.94	3.02e-14	0.91
17-877	17	83525819	83525893	+	139.5	0.667	19.000000	24.0	3.0	8.01	2.54e-14	4.55	2.24e-09	1.07
17-1035	17	83668625	83668699	+	139.5	0.652	18.000000	24.0	4.0	6.00	9.75e-12	5.98	1.05e-11	1.07
17-432	17	83990265	83990339	+	139.5	0.549	24.000000	24.0	3.0	8.01	2.54e-14	6.59	1.47e-12	0.87
17-659	17	87602956	87603030	+	139.5	0.652	21.000000	24.0	1.0	24.02	5.84e-25	6.30	3.65e-12	0.96
17-891	17	87773376	87773450	+	139.5	0.946	19.000000	24.0	2.0	12.01	3.92e-18	12.88	2.26e-17	0.98
17-757	17	87963832	87963906	+	139.5	0.595	20.000000	24.0	4.0	6.00	9.75e-12	10.38	9.60e-17	0.96
17-573	17	88668520	88668594	+	139.5	0.698	22.000000	24.0	1.0	24.02	5.84e-25	13.07	5.99e-19	0.91
17-663	17	6079659	6079733	+	133.7	0.569	20.000000	23.0	2.0	11.51	4.72e-17	9.82	1.31e-15	0.97
17-667	17	6776834	6776908	+	133.7	0.644	20.000000	23.0	2.0	11.51	4.72e-17	6.87	1.85e-12	0.97
17-498	17	13555890	13555964	+	133.7	0.781	22.000000	23.0	2.0	11.51	4.72e-17	10.08	7.61e-16	0.88
17-1071	17	17196316	17196390	+	133.7	0.742	17.000000	23.0	5.0	4.60	3.87e-09	13.35	2.02e-18	1.08
17-443	17	23538474	23538548	+	133.7	0.810	23.000000	24.0	2.0	12.01	3.92e-18	7.20	7.39e-13	0.84
17-677	17	23550247	23550321	+	133.7	0.682	20.000000	23.0	3.0	7.67	2.04e-13	5.97	2.92e-11	0.97
17-582	17	24415504	24415578	+	133.7	0.711	21.000000	23.0	3.0	7.67	2.04e-13	7.18	7.74e-13	0.88
17-680	17	24454843	24454917	+	133.7	0.707	20.000000	25.0	6.0	4.17	5.81e-09	8.70	1.60e-14	0.97
17-787	17	26111842	26111916	+	133.7	0.578	19.000000	23.0	3.0	7.67	2.04e-13	6.06	2.15e-11	1.02
17-586	17	26511439	26511513	+	133.7	0.473	21.000000	23.0	2.0	11.51	4.72e-17	5.05	1.64e-09	0.88
17-684	17	27056449	27056523	+	133.7	0.982	20.000000	23.0	1.0	23.01	1.40e-23	4.07	1.36e-07	0.89
17-685	17	27133825	27133899	+	133.7	0.580	20.000000	23.0	2.0	11.51	4.72e-17	7.23	6.72e-13	0.97
17-511	17	27668315	27668389	+	133.7	0.643	22.000000	24.0	3.0	8.01	2.54e-14	6.50	5.47e-12	0.88
17-512	17	27704105	27704179	+	133.7	0.509	22.000000	23.0	3.0	7.67	2.04e-13	5.22	3.74e-10	0.88
17-926	17	27907743	27907817	+	133.7	0.591	18.000000	23.0	3.0	7.67	2.04e-13	5.90	3.66e-11	1.08
17-688	17	28179987	28180061	+	133.7	0.700	20.000000	24.0	4.0	6.00	9.75e-12	5.58	6.68e-10	0.89
17-933	17	28368670	28368744	+	133.7	0.750	18.000000	23.0	3.0	7.67	2.04e-13	7.39	4.36e-13	1.02
17-935	17	28512218	28512292	+	133.7	0.679	18.000000	23.0	4.0	5.75	5.90e-11	6.34	8.97e-12	1.08
17-514	17	28622519	28622593	+	133.7	0.609	22.000000	24.0	1.0	24.02	5.84e-25	6.81	2.21e-12	0.88
17-595	17	29002364	29002438	+	133.7	0.960	21.000000	23.0	1.0	23.01	1.40e-23	6.67	3.28e-12	0.92
17-515	17	29048919	29048993	+	133.7	0.583	22.000000	23.0	1.0	23.01	1.40e-23	4.76	2.13e-09	0.88
17-517	17	29347790	29347864	+	133.7	0.674	22.000000	23.0	4.0	5.75	5.90e-11	5.91	3.52e-11	0.84
17-520	17	29704972	29705046	+	133.7	0.732	22.000000	23.0	3.0	7.67	2.04e-13	8.32	3.99e-14	0.88
17-521	17	29798303	29798377	+	133.7	0.580	22.000000	23.0	2.0	11.51	4.72e-17	5.50	1.38e-10	0.88
17-809	17	31526026	31526100	+	133.7	0.912	19.000000	23.0	2.0	11.51	4.72e-17	7.57	2.66e-13	0.97
17-817	17	33890573	33890647	+	133.7	0.763	19.000000	24.0	2.0	12.01	3.92e-18	4.44	7.35e-09	1.02
17-1143	17	34087478	34087552	+	133.7	0.619	17.000000	23.0	2.0	11.51	4.72e-17	5.80	3.38e-10	1.13
17-526	17	34837086	34837160	+	133.7	0.614	22.000000	23.0	3.0	7.67	2.04e-13	9.69	1.71e-15	0.84
17-1152	17	35744194	35744268	+	133.7	0.676	17.000000	23.0	5.0	4.60	3.87e-09	10.01	8.73e-16	1.08
17-709	17	37012481	37012555	+	133.7	0.571	20.000000	23.0	2.0	11.51	4.72e-17	7.52	3.09e-13	1.02
17-714	17	45666718	45666792	+	133.7	0.714	20.000000	23.0	3.0	7.67	2.04e-13	6.42	7.02e-12	0.97
17-718	17	47484513	47484587	+	133.7	0.723	20.000000	23.0	2.0	11.51	4.72e-17	6.14	1.70e-11	0.97
17-721	17	47924748	47924822	+	133.7	0.568	20.000000	23.0	5.0	4.60	3.87e-09	5.06	6.83e-10	0.97
17-630	17	49428296	49428370	+	133.7	0.778	21.000000	23.0	5.0	4.60	3.87e-09	12.17	1.43e-17	0.88
17-852	17	55958991	55959065	+	133.7	0.650	19.000000	23.0	5.0	4.60	3.87e-09	6.20	1.40e-11	1.02
17-724	17	56009081	56009155	+	133.7	0.587	20.000000	24.0	6.0	4.00	2.45e-08	5.42	1.87e-10	0.97
17-727	17	56304375	56304449	+	133.7	0.763	20.000000	23.0	5.0	4.60	3.87e-09	5.08	6.22e-10	0.97
17-635	17	56348299	56348373	+	133.7	0.659	21.000000	24.0	2.0	12.01	3.92e-18	9.98	9.35e-16	0.92
17-637	17	56487830	56487904	+	133.7	0.768	21.000000	23.0	4.0	5.75	5.90e-11	8.65	1.80e-14	0.92
17-550	17	56613381	56613455	+	133.7	0.756	22.000000	23.0	4.0	5.75	5.90e-11	4.45	7.16e-09	0.88
17-735	17	57250023	57250097	+	133.7	0.611	20.000000	25.0	4.0	6.25	1.55e-12	4.55	4.79e-09	0.97
17-642	17	57275444	57275518	+	133.7	0.628	21.000000	23.0	3.0	7.67	2.04e-13	5.79	5.29e-11	0.92
17-1014	17	62875915	62875989	+	133.7	0.692	18.000000	23.0	1.0	23.01	1.40e-23	12.58	7.19e-18	1.02
17-560	17	66514740	66514814	+	133.7	0.723	22.000000	23.0	4.0	5.75	5.90e-11	5.90	3.66e-11	0.88
17-1017	17	69204592	69204666	+	133.7	0.833	18.000000	23.0	3.0	7.67	2.04e-13	15.69	6.30e-20	1.02
17-1018	17	69257980	69258054	+	133.7	0.591	18.000000	23.0	3.0	7.67	2.04e-13	9.39	3.27e-15	1.02
17-647	17	70772717	70772791	+	133.7	0.730	21.000000	23.0	4.0	5.75	5.90e-11	8.12	6.54e-14	0.92
17-564	17	75603943	75604017	+	133.7	0.707	22.000000	23.0	1.0	23.01	1.40e-23	11.89	2.37e-17	0.84
17-1026	17	79343236	79343310	+	133.7	0.806	18.000000	23.0	3.0	7.67	2.04e-13	7.50	1.03e-12	1.04
17-878	17	83729155	83729229	+	133.7	0.500	19.000000	23.0	5.0	4.60	3.87e-09	6.37	8.27e-12	0.97
17-1039	17	84112651	84112725	+	133.7	0.722	18.000000	24.0	4.0	6.00	9.75e-12	7.20	7.39e-13	1.08
17-1042	17	84826788	84826862	+	133.7	0.730	18.000000	23.0	2.0	11.51	4.72e-17	12.53	7.85e-18	1.02
17-656	17	86162068	86162142	+	133.7	0.842	21.000000	26.0	4.0	6.50	2.36e-13	8.82	1.19e-14	0.92
17-887	17	86962500	86962574	+	133.7	0.633	19.000000	23.0	5.0	4.60	3.87e-09	7.20	7.39e-13	1.08
17-491	17	87321831	87321905	+	133.7	0.574	23.000000	23.0	4.0	5.75	5.90e-11	9.34	3.72e-15	0.84
17-661	17	88624541	88624615	+	133.7	0.619	21.000000	23.0	2.0	11.51	4.72e-17	8.60	2.02e-14	0.88
17-1232	17	5089600	5089674	+	127.9	0.718	16.000000	22.0	3.0	7.34	1.58e-12	7.45	1.19e-12	1.10
17-1057	17	6317623	6317697	+	127.9	0.774	17.000000	22.0	5.0	4.40	1.80e-08	23.48	8.33e-23	1.18
17-765	17	6783468	6783542	+	127.9	0.580	19.000000	22.0	2.0	11.01	5.46e-16	5.14	1.16e-09	1.04
17-1492	17	6978731	6978805	+	127.9	0.957	15.000000	22.0	2.0	11.01	5.46e-16	29.71	5.73e-25	1.18
17-577	17	8282827	8282901	+	127.9	0.735	21.000000	23.0	5.0	4.60	3.87e-09	7.08	3.10e-12	0.88
17-497	17	11887151	11887225	+	127.9	0.647	22.000000	23.0	4.0	5.75	5.90e-11	14.20	3.08e-18	0.93
17-671	17	12159353	12159427	+	127.9	0.592	20.000000	22.0	1.0	22.01	3.23e-22	5.03	4.07e-09	0.89
17-1066	17	12761885	12761959	+	127.9	0.694	17.000000	22.0	3.0	7.34	1.58e-12	15.57	4.64e-19	1.04
17-768	17	12988322	12988396	+	127.9	0.722	19.000000	22.0	3.0	7.34	1.58e-12	6.30	2.81e-11	0.98
17-771	17	14927264	14927338	+	127.9	0.585	19.000000	22.0	1.0	22.01	3.23e-22	9.90	4.52e-15	0.98
17-774	17	17845825	17845899	+	127.9	0.811	19.000000	22.0	3.0	7.34	1.58e-12	10.99	5.67e-16	1.04
17-580	17	17975584	17975658	+	127.9	0.622	21.000000	22.0	3.0	7.34	1.58e-12	16.16	1.40e-18	0.89
17-907	17	18518745	18518819	+	127.9	0.836	18.000000	23.0	1.0	23.01	1.40e-23	14.00	4.15e-18	1.04
17-775	17	21733632	21733706	+	127.9	0.640	19.000000	22.0	3.0	7.34	1.58e-12	10.06	5.75e-14	0.89
17-504	17	24881961	24882035	+	127.9	0.705	22.000000	22.0	3.0	7.34	1.58e-12	5.34	5.88e-10	0.93
17-781	17	25589752	25589826	+	127.9	0.714	19.000000	22.0	2.0	11.01	5.46e-16	10.32	1.97e-15	0.98
17-505	17	25792386	25792460	+	127.9	0.711	22.000000	24.0	6.0	4.00	2.45e-08	6.54	1.39e-11	0.88
17-1279	17	25833287	25833361	+	127.9	0.632	16.000000	22.0	3.0	7.34	1.58e-12	4.45	6.63e-08	1.07
17-687	17	27563688	27563762	+	127.9	0.619	20.000000	22.0	3.0	7.34	1.58e-12	5.16	2.62e-09	0.89
17-1105	17	27702635	27702709	+	127.9	0.667	17.000000	22.0	4.0	5.50	3.42e-10	6.05	5.96e-11	1.04
17-795	17	28567743	28567817	+	127.9	0.794	19.000000	23.0	2.0	11.51	4.72e-17	8.49	9.44e-14	1.04
17-1116	17	29016895	29016969	+	127.9	0.625	17.000000	22.0	1.0	22.01	3.23e-22	5.81	1.27e-10	1.10
17-939	17	29155935	29156009	+	127.9	0.627	18.000000	22.0	2.0	11.01	5.46e-16	4.41	1.74e-08	1.10
17-597	17	29171297	29171371	+	127.9	0.578	21.000000	23.0	2.0	11.51	4.72e-17	6.33	2.60e-11	0.88
17-598	17	29212070	29212144	+	127.9	0.614	21.000000	22.0	3.0	7.34	1.58e-12	7.26	6.13e-12	0.84
17-693	17	29268843	29268917	+	127.9	0.568	20.000000	22.0	2.0	11.01	5.46e-16	5.47	3.80e-10	0.88
17-943	17	29717095	29717169	+	127.9	0.705	18.000000	23.0	5.0	4.60	3.87e-09	7.83	4.57e-13	1.10
17-946	17	31118002	31118076	+	127.9	0.562	18.000000	22.0	2.0	11.01	5.46e-16	4.65	1.48e-08	0.99
17-954	17	32162688	32162762	+	127.9	0.571	18.000000	22.0	4.0	5.50	3.42e-10	4.04	7.70e-08	0.98
17-956	17	33901101	33901175	+	127.9	0.684	18.000000	22.0	2.0	11.01	5.46e-16	5.97	7.79e-11	0.98
17-826	17	35673875	35673949	+	127.9	0.800	19.000000	23.0	1.0	23.01	1.40e-23	11.46	2.42e-16	0.98
17-1163	17	45630100	45630174	+	127.9	0.615	17.000000	22.0	2.0	11.01	5.46e-16	4.60	1.80e-08	1.06
17-979	17	45630311	45630385	+	127.9	0.703	18.000000	22.0	4.0	5.50	3.42e-10	4.89	2.84e-09	0.98
17-715	17	46074019	46074093	+	127.9	0.580	20.000000	22.0	2.0	11.01	5.46e-16	6.43	1.95e-11	1.04
17-988	17	46752094	46752168	+	127.9	0.942	18.000000	22.0	4.0	5.50	3.42e-10	7.35	4.82e-12	0.99
17-624	17	46890311	46890385	+	127.9	0.684	21.000000	22.0	2.0	11.01	5.46e-16	5.74	1.57e-10	0.88
17-627	17	47737019	47737093	+	127.9	0.878	21.000000	22.0	1.0	22.01	3.23e-22	4.17	4.55e-08	0.84
17-2011	17	47938461	47938535	+	127.9	0.605	14.000000	22.0	1.0	22.01	3.23e-22	9.30	1.56e-14	1.36
17-848	17	48080845	48080919	+	127.9	0.714	19.000000	23.0	2.0	11.51	4.72e-17	17.97	2.37e-20	1.04
17-849	17	48427605	48427679	+	127.9	0.743	19.000000	22.0	0.5	44.03	1.27e-28	6.54	4.04e-11	0.94
17-547	17	51159419	51159493	+	127.9	0.600	22.000000	22.0	1.0	22.01	3.23e-22	16.73	1.04e-19	0.88
17-998	17	51695436	51695510	+	127.9	0.711	18.000000	23.0	2.0	11.51	4.72e-17	13.93	4.58e-18	1.04
17-632	17	55974462	55974536	+	127.9	0.763	21.000000	22.0	2.0	11.01	5.46e-16	6.38	2.20e-11	0.88
17-730	17	56935913	56935987	+	127.9	0.684	20.000000	22.0	3.0	7.34	1.58e-12	6.88	5.35e-12	0.93
17-1010	17	57095814	57095888	+	127.9	0.556	18.000000	22.0	3.0	7.34	1.58e-12	5.55	2.98e-10	0.98
17-1011	17	57119800	57119874	+	127.9	0.750	18.000000	22.0	2.0	11.01	5.46e-16	5.15	1.13e-09	1.04
17-1419	17	65221824	65221898	+	127.9	0.647	16.000000	22.0	3.0	7.34	1.58e-12	12.49	4.21e-17	1.10
17-736	17	65702318	65702392	+	127.9	0.667	20.000000	22.0	2.0	11.01	5.46e-16	8.09	2.42e-13	0.93
17-1016	17	67651710	67651784	+	127.9	0.844	18.000000	22.0	4.0	5.50	3.42e-10	17.13	6.45e-20	0.98
17-868	17	70851624	70851698	+	127.9	0.593	19.000000	22.0	2.0	11.01	5.46e-16	4.18	4.44e-08	1.04
17-1025	17	71479593	71479667	+	127.9	0.676	18.000000	22.0	3.0	7.34	1.58e-12	6.18	4.03e-11	0.98
17-1210	17	80468956	80469030	+	127.9	0.833	17.000000	22.0	5.0	4.40	1.80e-08	9.24	1.03e-12	1.02
17-875	17	83025476	83025550	+	127.9	0.628	19.000000	23.0	2.0	11.51	4.72e-17	11.42	2.61e-16	0.98
